Date,PM10,PM25,NO2
05-04-20,41.24,16.98,13.67
06-04-20,36.25,17.52,22.69
07-04-20,28.91,16.19,29.02
08-04-20,34.57,24.62,40.41
09-04-20,38.65,22.87,34.6
10-04-20,47.64,25.51,28.77
11-04-20,30.93,11.62,25.55
12-04-20,35.06,21.19,23.21
13-04-20,32.08,15.89,27.26
14-04-20,42.07,21.23,19.15
15-04-20,6.29,4.65,18.43
16-04-20,15.77,10.37,17.82
17-04-20,18.8,13.19,25.09
18-04-20,28.86,19.88,37.75
19-04-20,24.01,15.51,15.12
20-04-20,15.19,9.14,14.23
21-04-20,13.54,8.48,22.84
22-04-20,18.57,12.64,31.1
23-04-20,17.78,11.28,38.14
24-04-20,18.7,11.54,19.5
25-04-20,21.27,12.17,12.11
26-04-20,14.99,8.96,14.08
27-04-20,17.45,9.22,33.9
28-04-20,22.75,12.33,34.22
29-04-20,22.37,11.59,23.81
30-04-20,15.09,7.98,27.21
01-05-20,15.85,11.91,26.96
02-05-20,10.52,7.38,15.06
03-05-20,11.83,8.57,20.04
04-05-20,4.8,3.45,26.95
05-05-20,11.36,7.93,23.03
06-05-20,8.42,5.89,26.78
07-05-20,10.87,6.69,28.53
08-05-20,16.12,10.1,35.4
09-05-20,20.63,13.88,26.51
10-05-20,21.37,15.09,33.84
11-05-20,25.64,14.11,39.23
12-05-20,25.1,9.93,19.83
13-05-20,15.29,5.25,44.1
14-05-20,22.07,8.56,29.67
15-05-20,22.46,9.24,48.76
16-05-20,26.88,11.77,31.88
17-05-20,22.97,11.38,25.25
18-05-20,20.35,10.79,52.42
19-05-20,30.55,18.12,58.86
20-05-20,29.29,17.25,50.5
21-05-20,9.14,5.71,46.05
22-05-20,9.01,5.68,35.52
23-05-20,11.24,7.73,28.45
24-05-20,15.05,10.96,23
25-05-20,8.28,5.65,34.28
26-05-20,11.53,7.61,46.19
27-05-20,9.47,6.16,54.17
28-05-20,8.93,5.37,43.15
29-05-20,10.06,6.62,42.68
30-05-20,10.05,6.25,27.36
31-05-20,11.53,7.13,14.6
01-06-20,10.18,6.72,24.27
02-06-20,8.33,5.8,50.41
03-06-20,11.03,7.14,23.79
04-06-20,14.73,9.16,22.93
05-06-20,23.86,12.71,30.41
06-06-20,24.19,14.73,46.55
07-06-20,16.7,10.48,37.97
08-06-20,20.58,13.79,32.91
09-06-20,28.97,19.7,42.85
10-06-20,23.63,15.78,28.04
11-06-20,17.94,12.21,22.27
12-06-20,20.21,15.42,18.81
13-06-20,19.24,14.02,23.68
14-06-20,25.17,20.78,24.67
15-06-20,25.83,22.61,36.79
16-06-20,18.36,12.82,44.64
17-06-20,15.69,13.31,41.27
18-06-20,27.96,24.14,24.08
19-06-20,20.65,16.71,27.56
20-06-20,13.94,9.72,24.8
21-06-20,13.36,10.76,20.74
22-06-20,14.52,10.14,28.86
23-06-20,17.24,13.47,47.64
24-06-20,21.48,17.11,35.74
25-06-20,21.33,14.67,56.51
26-06-20,22.36,15.31,56.01
27-06-20,23.21,13.15,40.7
28-06-20,29.58,19.11,25.96
29-06-20,32.28,26.41,46.91
30-06-20,41.11,32.69,27.98
01-07-20,23.85,16.61,52.19
02-07-20,35.94,25.52,60.44
03-07-20,26.14,16.67,55.38
04-07-20,40.43,33.56,38.6
05-07-20,25.68,23.86,30.17
06-07-20,26.57,22.75,53.92
07-07-20,30.61,26.3,35.7
08-07-20,15.77,15.31,25.27
09-07-20,12.72,6.27,49.85
10-07-20,16.81,8.06,63.58
11-07-20,16.9,7.22,46.89
12-07-20,18.73,11.85,32.71
13-07-20,7.46,4.83,33.45
14-07-20,15.09,9.22,53.11
15-07-20,17.53,9.55,55.71
16-07-20,22.29,13.48,41.57
17-07-20,16,9.46,59.73
18-07-20,19.56,9.73,40.71
19-07-20,16.35,11.26,30.72
20-07-20,13.62,10.63,28
21-07-20,15.47,10.87,50.43
22-07-20,16.5,11.12,57.19
23-07-20,15.91,8.49,52.95
24-07-20,23.04,12.42,40.11
25-07-20,18.75,8.97,39.31
26-07-20,19.38,12.67,31.3
27-07-20,23.67,17.72,23.94
28-07-20,20.16,14.53,41.27
29-07-20,21.02,13.43,69.42
30-07-20,25.89,17.4,70.7
31-07-20,23.52,15.41,52.04
01-08-20,18.67,12.61,31.1
02-08-20,15.18,9.25,32.38
03-08-20,18.78,8.52,61.03
04-08-20,16.44,9.08,60.33
05-08-20,19.44,9.91,60.18
06-08-20,26.14,9.96,54.77
07-08-20,22,10.96,57.05
08-08-20,27.4,14.42,39.64
09-08-20,15.89,9.36,32.78
10-08-20,17.43,11.9,56.68
11-08-20,18.14,12.74,61.36
12-08-20,15.78,9.74,56.38
13-08-20,20.63,12.65,61.1
14-08-20,26.58,18.22,64.15
15-08-20,16.37,10.84,37.18
16-08-20,13.9,9.46,30.04
17-08-20,19.78,10.54,57.28
18-08-20,23.14,15.1,62.19
19-08-20,17.38,11.1,34.93
20-08-20,12.54,10.15,38.3
21-08-20,17.75,12.19,45.7
22-08-20,26.13,19.7,38.69
23-08-20,25.81,17.78,38.41
24-08-20,24.13,14,58.94
25-08-20,19.53,8.91,44.18
26-08-20,16.16,9.76,37.23
27-08-20,19.58,11.53,26.29
28-08-20,24.15,14.32,69.02
29-08-20,20.61,9.46,48.72
30-08-20,13.32,7.28,37.09
